"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"64","Tokyo","Jhayco","Timelezz",2021,"Autumn",77,0.282,0.654,0.696,1.07e-05,0.0575,-7.902,0.134,120.106,"9","0",202160,0.274,"4","1gYipuSzUpI6BENbGrgeid","reggaeton","trap latino","urbano latino",NA,NA,NA
"65","Astronomy","Conan Gray","Astronomy",2021,"Spring",70,0.593,0.471,0.335,2.11e-05,0.297,-8.767,0.0273,145.252,"4","0",243907,0.111,"3","0KmgJyW4GDgonqsoyx0CZ3","bedroom pop","pop","pov: indie",NA,NA,NA
"66","Youth","Daughter","If You Leave",2013,"Spring",70,0.889,0.396,0.535,0.00678,0.116,-11.09,0.0411,146.416,"0","1",253013,0.435,"4","2Ck6gblyk3UFCVPTh8o3TN","chamber pop","shimmer pop",NA,NA,NA,NA
"67","Runaway","AURORA","All My Demons Greeting Me As A Friend (Deluxe)",2016,"Spring",80,0.629,0.422,0.302,7.83e-05,0.104,-9.214,0.0372,114.089,"11","1",248826,0.123,"4","1v1oIWf2Xgh54kIWuKsDf6","art pop","norwegian pop",NA,NA,NA,NA
"68","21","Gracie Abrams","minor",2020,"Summer",74,0.494,0.759,0.665,0,0.109,-6.338,0.0861,125.056,"2","1",185172,0.391,"4","5meVa5klVlJalupZTvv5XX","alt z",NA,NA,NA,NA,NA
"69","Fat Funny Friend","Maddie Zahm","Fat Funny Friend",2022,"Winter",71,0.625,0.498,0.452,0,0.0836,-7.887,0.124,107.728,"0","1",199764,0.265,"4","7z3NjKBqjv3d1ykXCFQxaT","alt z",NA,NA,NA,NA,NA
"70","Si Tu Te Vas","Khaled","Si Tu Te Vas",2022,"Winter",60,0.465,0.88,0.489,0,0.0781,-10.386,0.134,99.014,"5","0",192000,0.589,"4","1KALUbjXvefSgNhTYJHZZt","spanish hip hop","urbano espanol",NA,NA,NA,NA
"71","Me Sabe Mal","MARLENA","Me Sabe Mal",2021,"Spring",56,0.11,0.604,0.569,0,0.14,-5.828,0.0378,99.313,"7","1",196225,0.556,"4","53w7xjn8fwwU8Pc6rgMm5v","spanish pop",NA,NA,NA,NA,NA
"72","Long Way Down","Tom Odell","Long Way Down (Deluxe)",2013,"Summer",59,0.972,0.368,0.121,0.0322,0.0871,-13.778,0.0315,133.148,"6","1",149773,0.0956,"4","1uVk6S6Fpkrmji0iTpgKEC","chill pop",NA,NA,NA,NA,NA
"73","Easy","Camila Cabello","Easy",2019,"Autumn",58,0.411,0.574,0.593,1.55e-06,0.0966,-5.731,0.0463,128.073,"4","0",194686,0.355,"4","46D0hYb1B7qiU33VtXt21W","dance pop","pop",NA,NA,NA,NA
