"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"90","Domenicamara","Canova","Vivi Per Sempre","2019","Spring",34,0.00827,0.42,0.959,0,0.0785,-3.902,0.0544,167.91,"0","1",215786,0.194,"4","01bOC2gcbXGp6sKodk3yrc","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"91","Divano Nostalgia","Galeffi","Divano Nostalgia","2022","Spring",21,0.214,0.685,0.678,0,0.0911,-5.525,0.0284,127.887,"8","0",191718,0.919,"4","5CfYodVuyULDrRkWlf2C0v","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA,NA
"92","Second Heartbeat","Avenged Sevenfold","Waking The Fallen","2003","Summer",58,1.21e-05,0.294,0.986,0.543,0.118,-4.947,0.096,184.987,"0","0",420333,0.316,"4","3hmX5dfwY9oRIpJKvt755u","alternative metal","nu metal",NA,NA,NA,NA,NA,NA,NA
"93","My Way","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","2000","Autumn",76,0.02,0.576,0.864,1.68e-06,0.683,-3.981,0.0462,97.225,"6","1",272973,0.609,"4","2gSVKxPDww9Eep5rdvtdem","alternative metal","funk metal","nu metal","post-grunge","rap metal","rock",NA,NA,NA
"94","Three Hours Ahead","Adam Melchor","Three Hours Ahead","2019","Winter",25,0.535,0.461,0.503,0.949,0.105,-8.275,0.0257,137.973,"5","1",210522,0.233,"4","54aMekdZimkyqYMiR0FrcU","indie pop","modern indie folk","new jersey indie",NA,NA,NA,NA,NA,NA
"95","Lie To Me - Acoustic","12 Stones","Anthem For The Underdog (Bonus Track Version)","2007","Winter",40,0.658,0.386,0.326,0,0.377,-9.426,0.0291,151.978,"0","1",230200,0.482,"4","4FvAYmTLr741HStMTasDGD","alternative metal","christian hard rock","nu metal","post-grunge",NA,NA,NA,NA,NA
"96","Skate","Bruno Mars","An Evening With Silk Sonic","2021","Autumn",64,0.037,0.708,0.598,0,0.17,-8.365,0.0291,112.027,"5","1",203122,0.698,"4","3WTWh2WDk4j8GUCGj4xfOd","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"97","Y Que Fue?","Don Miguelo","Y Que Fue?","2020","Summer",64,0.0512,0.889,0.651,0.0116,0.0955,-6.563,0.0599,132.938,"1","1",163759,0.874,"4","1mNvijqTFRqisyURrtrhwa","dembow","latin hip hop","rap dominicano",NA,NA,NA,NA,NA,NA
"98","Una cosa stupida","I Cani","Aurora","2016","Winter",45,0.663,0.696,0.346,1.82e-05,0.0927,-9.404,0.0563,172.938,"1","0",203400,0.274,"4","1eBMcvp2SZK6CR2Xpqk1BN","italian alternative","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA
"99","EVEREST","Legno","Lato A","2022","Spring",24,0.238,0.665,0.592,0,0.159,-6.335,0.0404,126.953,"0","1",208526,0.529,"4","3gAH0gBdVCGPDvuIhaNRga","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
