"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"29","Quel sorriso in volto","Modà","Testa o croce","2019","Autumn",63,0.0203,0.477,0.618,0,0.0901,-6.643,0.0259,158.059,"8","1",241760,0.186,"4","4KNumtDS7aWRwDZDmWJ2lN","italian adult pop",NA,NA,NA,NA
"30","Bandana","LDA","Bandana","2022","Spring",40,0.00299,0.752,0.673,0,0.184,-5.663,0.0379,122.053,"8","1",169180,0.602,"4","1EKJHHHvcSvSqoKiZrdDnb","italian adult pop","italian pop",NA,NA,NA
"31","Tra silenzi (Roma)","Alex Wyse","Tra silenzi (Roma)","2021","Autumn",37,0.161,0.546,0.618,0,0.102,-4.917,0.0278,76.021,"4","1",152368,0.369,"4","0vklvGNqtPNDPw4nosCFxZ",NA,NA,NA,NA,NA
"32","cOsì beLLo","Albe","cOsì beLLo","2021","Autumn",31,0.358,0.815,0.565,0,0.104,-7.004,0.183,101.955,"6","0",134117,0.638,"4","0KjaZCDyGjLK9cVlFgRqQZ","italian pop",NA,NA,NA,NA
"33","Nonono","Pinguini Tattici Nucleari","Fuori dall'Hype","2019","Spring",62,0.451,0.816,0.897,0,0.0803,-2.909,0.0682,95.005,"7","1",210893,0.83,"4","4sE5wzpPd4s8kTdtVC18lY","bergamo indie","italian indie pop","italian pop","milan indie",NA
"34","Quando Dio ti ha inventata","Emanuele Aloia","Sindrome di Stendhal","2021","Spring",51,0.147,0.46,0.645,0,0.126,-6.043,0.0758,83.704,"2","1",181666,0.298,"4","55spRQoCu4joYJk7tyzGE6","italian pop",NA,NA,NA,NA
"35","Supereroi","Ultimo","Solo","2021","Autumn",53,0.398,0.606,0.399,0,0.157,-9.329,0.0486,140.18,"9","1",263053,0.221,"4","31LcjVqQYbwjrQITmwerYJ","italian adult pop","italian pop",NA,NA,NA
"36","Tondo","Luigi Strangis","Strangis","2022","Summer",38,0.554,0.778,0.873,0,0.418,-3.918,0.115,109.961,"11","0",190363,0.729,"4","5sSx4x4aBiNjQYv9DBuwbq",NA,NA,NA,NA,NA
"37","La storia infinita","Pinguini Tattici Nucleari","AHIA!","2020","Winter",64,0.169,0.701,0.744,0,0.115,-3.421,0.0411,89.986,"4","1",207802,0.651,"4","2r1SRt8bhtR6a9bMRR0AgV","bergamo indie","italian indie pop","italian pop","milan indie",NA
"38","Simili","Laura Pausini","Simili","2015","Autumn",52,0.179,0.522,0.765,0,0.103,-4.781,0.0381,115.077,"1","1",215546,0.159,"4","53i6D188bSUeVZeR1sMucH","europop","italian adult pop","latin arena pop","mexican pop",NA
"39","Sul finale","Ultimo","Solo","2021","Autumn",55,0.371,0.542,0.674,0,0.114,-5.339,0.0476,147.759,"10","1",234960,0.296,"4","3yup5llqOkS6nYSqAggq1S","italian adult pop","italian pop",NA,NA,NA
"40","Brividi","Mahmood","Brividi","2022","Winter",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,"7","1",199146,0.342,"4","1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA
"41","Scooby Doo","Pinguini Tattici Nucleari","AHIA!","2020","Winter",66,0.0477,0.74,0.743,0,0.0925,-4.166,0.137,135.071,"6","1",179124,0.773,"4","1P6TlFb8EVH2nCX3luVpZW","bergamo indie","italian indie pop","italian pop","milan indie",NA
"42","Partirò da zero","Luigi Strangis","Strangis","2022","Summer",35,0.114,0.464,0.872,0,0.0742,-3.806,0.0717,148.222,"5","1",167174,0.364,"4","3zdyaT6AYNUuqX1iHBwpzs",NA,NA,NA,NA,NA
"43","Piccola Stella","Ultimo","Colpa Delle Favole","2019","Spring",68,0.341,0.487,0.465,0,0.111,-8.019,0.0474,179.907,"2","1",232666,0.288,"3","6sLBJkMyZIkGevtpYgeotT","italian adult pop","italian pop",NA,NA,NA
"44","Notte Stellata","Emanuele Aloia","Sindrome di Stendhal","2021","Spring",48,0.18,0.684,0.837,0,0.0997,-5.558,0.123,94.994,"7","1",192466,0.67,"4","7gvTz4dLTGkST8Hr2V1Miq","italian pop",NA,NA,NA,NA
"45","Come, come","Sissi","Leggera","2022","Spring",41,0.133,0.844,0.756,2.19e-06,0.106,-2.687,0.0692,110.056,"1","0",151090,0.777,"4","4Kw2WHHSFvNeTgbpQtITe7","italian pop",NA,NA,NA,NA
"46","Lake Washington Boulevard","Pinguini Tattici Nucleari","Fuori dall'Hype","2019","Spring",62,0.234,0.708,0.745,0,0.0654,-3.249,0.0367,110.003,"7","1",228466,0.808,"4","6Jn9qoprkuSfsRW7tTRkOV","bergamo indie","italian indie pop","italian pop","milan indie",NA
"47","Niente","Ultimo","Niente","2021","Autumn",43,0.384,0.646,0.785,0,0.0834,-4.466,0.0604,139.909,"11","0",238546,0.344,"4","3eWl6H8WvOlo63whCo4Ier","italian adult pop","italian pop",NA,NA,NA
